"Milan Babic (*May 7, 1974)",,,HR
,,,
"Joseph Bernhard (*May 7, 1889)",,,US
,,,
"Angela Carter (*May 7, 1940)",,,GB
,,,
"Brian Kilmeade (*May 7, 1963)",,,US
,,,
"István Kovács (*May 7, 1944)",,,HU
,,,
"Bernie Marsden (*May 7, 1951)",,,XX
,,,
"Cody Parr (*May 7, 1988)",,,XX
,,,
"Adam Price (*May 7, 1967)","scriptwriter, presenter, cook",,DK
,,,
"Lorenzo Quinn (*May 7, 1966)",,,IT
,,,
"Peter Theiss (*May 7, 1962)",,,XX
,,,
"Carmen Tomas (*May 7, 1946)",,,DE
,,,
Samuel Saudek (*1963),"photographer, businessman, children of celebrity",,CZ
,,,
"Olympe de Gouges (*May 7, 1748)","playwright, political activist, Women's rights advocate",,FR
